Integrated Autocorrelation time
0.08490 0.04506 0.04965
0.08493 0.04237 0.04725
0.08682 0.03912 0.04441
0.08722 0.03480 0.04224
0.08673 0.03024 0.03968
0.08875 0.02896 0.03704
0.08785 0.02698 0.03440
0.08663 0.02366 0.03181
0.08512 0.01876 0.02811
0.08454 0.02001 0.02849
0.08443 0.02076 0.02853
0.08427 0.01965 0.02727
0.08458 0.01792 0.02399
0.08438 0.02045 0.02578
0.08377 0.02315 0.02857
0.08236 0.02578 0.03010
0.08253 0.02684 0.02934
0.08242 0.02907 0.03093
0.07975 0.02933 0.03132
0.07940 0.02834 0.03030
0.07925 0.03028 0.03047
0.07592 0.02919 0.02998
0.07246 0.02867 0.02951
0.07199 0.02825 0.02934
0.07168 0.02959 0.03026
0.07043 0.03199 0.03046
0.06581 0.03186 0.03133
0.06784 0.03819 0.03640
0.06830 0.03977 0.03824
0.06751 0.03916 0.03745
0.06838 0.04226 0.03971
0.06970 0.04432 0.04148
0.07230 0.04603 0.04206
0.07107 0.04639 0.04202
0.07063 0.04550 0.04147
0.07046 0.04503 0.04172
0.07110 0.04249 0.04015
0.07256 0.04083 0.03979
0.07107 0.03635 0.03839
0.07059 0.03247 0.03671
0.07004 0.02761 0.03500
0.07567 0.02994 0.03626
0.08238 0.03553 0.03879
0.09025 0.04134 0.04119
0.09301 0.04434 0.04232
0.09234 0.04321 0.04150
0.09209 0.04042 0.03932
0.09149 0.03727 0.03722
0.09400 0.03941 0.03905
0.09690 0.04505 0.04304
0.09624 0.04493 0.04396
0.09518 0.04441 0.04526
0.09577 0.04444 0.04643
0.09487 0.04360 0.04634
0.09163 0.04079 0.04599
0.09080 0.03709 0.04381
0.09114 0.03374 0.04100
0.09472 0.03521 0.04173
0.00000 0.03540 0.04128
0.00000 0.03286 0.03956
0.00000 0.00000 0.03942
0.00000 0.00000 0.03886
0.00000 0.00000 0.03924
0.00000 0.00000 0.03895
0.00000 0.00000 0.04104
0.00000 0.00000 0.04027
0.00000 0.00000 0.03989
0.00000 0.00000 0.03841
0.00000 0.00000 0.03761
0.00000 0.00000 0.03573
0.00000 0.00000 0.02990
0.00000 0.00000 0.02522
0.00000 0.00000 0.02064
0.00000 0.00000 0.01519
0.00000 0.00000 0.00884
0.00000 0.00000 0.00501
0.00000 0.00000 0.00259
0.00000 0.00000 0.00044
0.00000 0.00000 -0.00520
0.00000 0.00000 -0.00840
0.00000 0.00000 -0.00870
0.00000 0.00000 -0.00925
0.00000 0.00000 -0.01099
0.00000 0.00000 -0.01210
0.00000 0.00000 -0.01450
0.00000 0.00000 -0.01855
0.00000 0.00000 -0.01973
0.00000 0.00000 -0.02156
0.00000 0.00000 -0.02644
0.00000 0.00000 -0.02783
0.00000 0.00000 -0.02841
0.00000 0.00000 -0.03092
0.00000 0.00000 -0.03204
0.00000 0.00000 -0.03555
0.00000 0.00000 -0.03690
0.00000 0.00000 -0.03517
0.00000 0.00000 -0.03392
0.00000 0.00000 -0.03638
0.00000 0.00000 -0.03873
0.00000 0.00000 -0.04247
0.00000 0.00000 -0.04675
0.00000 0.00000 -0.04907
0.00000 0.00000 -0.05201
0.00000 0.00000 -0.05354
0.00000 0.00000 -0.05682
0.00000 0.00000 -0.05989
0.00000 0.00000 -0.06121
0.00000 0.00000 -0.06065
0.00000 0.00000 -0.05682
0.00000 0.00000 -0.05477
0.00000 0.00000 -0.05273
0.00000 0.00000 -0.05353
0.00000 0.00000 -0.05364
0.00000 0.00000 -0.05138
0.00000 0.00000 -0.04714
0.00000 0.00000 -0.04622
0.00000 0.00000 -0.04412
0.00000 0.00000 -0.04250
0.00000 0.00000 -0.03984
